Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2008,37,são paulo,fluminense,1,1
2008,37,vitória,palmeiras,0,0
2008,38,athlético-pr,flamengo,5,3
2008,38,cruzeiro,portuguesa,4,1
2008,38,figueirense,internacional,3,1
2008,38,fluminense,ipatinga,1,1
2008,38,goiás,são paulo,0,1
2008,38,grêmio,atlético-mg,2,0
2008,38,palmeiras,botafogo-rj,0,1
2008,38,santos,náutico,0,0
2008,38,sport,coritiba,4,3
2008,38,vasco,vitória,0,2
2009,1,athlético-pr,vitória,0,2
2009,1,avaí,atlético-mg,2,2
2009,1,corinthians,internacional,0,1
2009,1,cruzeiro,flamengo,2,0
2009,1,fluminense,são paulo,1,0
2009,1,goiás,náutico,3,3
2009,1,grêmio,santos,1,1
2009,1,palmeiras,coritiba,2,1
2009,1,santo andré,botafogo-rj,1,1
2009,1,sport,barueri,1,1
2009,2,atlético-mg,grêmio,2,1
2009,2,barueri,fluminense,0,0
2009,2,botafogo-rj,corinthians,0,0
2009,2,coritiba,santo andré,2,4
2009,2,flamengo,avaí,0,0
2009,2,internacional,palmeiras,2,0
2009,2,náutico,cruzeiro,2,0
2009,2,santos,goiás,3,3
2009,2,são paulo,athlético-pr,2,2
2009,2,vitória,sport,1,0
2009,3,athlético-pr,náutico,2,3
2009,3,avaí,coritiba,2,2
2009,3,corinthians,barueri,2,1
2009,3,cruzeiro,vitória,2,0
2009,3,fluminense,santos,1,4
2009,3,goiás,internacional,0,1
2009,3,grêmio,botafogo-rj,2,0
2009,3,palmeiras,são paulo,0,0
2009,3,santo andré,flamengo,1,2
2009,3,sport,atlético-mg,2,3
2009,4,atlético-mg,santo andré,0,0
2009,4,barueri,palmeiras,2,2
2009,4,botafogo-rj,sport,2,2
2009,4,coritiba,goiás,1,3
2009,4,flamengo,athlético-pr,2,1
2009,4,internacional,avaí,2,1
2009,4,náutico,fluminense,1,1
2009,4,santos,corinthians,3,1
2009,4,são paulo,cruzeiro,3,0
2009,4,vitória,grêmio,1,0
2009,5,athlético-pr,atlético-mg,0,4
2009,5,avaí,são paulo,0,0
2009,5,corinthians,coritiba,2,0
2009,5,cruzeiro,internacional,1,1
2009,5,fluminense,botafogo-rj,1,0
2009,5,goiás,barueri,2,2
2009,5,grêmio,náutico,3,0
2009,5,palmeiras,vitória,2,1
2009,5,santo andré,santos,3,3
2009,5,sport,flamengo,4,2
2009,6,atlético-mg,náutico,3,0
2009,6,barueri,avaí,3,1
2009,6,botafogo-rj,santos,2,0
2009,6,coritiba,flamengo,5,0
2009,6,fluminense,grêmio,0,0
2009,6,goiás,corinthians,0,0
2009,6,internacional,vitória,0,0
2009,6,palmeiras,cruzeiro,3,1
2009,6,sport,athlético-pr,0,1
2009,6,são paulo,santo andré,1,1
2009,7,athlético-pr,palmeiras,2,2
2009,7,avaí,fluminense,3,2
2009,7,corinthians,são paulo,3,1
2009,7,cruzeiro,barueri,2,4
2009,7,flamengo,internacional,4,0
2009,7,grêmio,goiás,2,2
2009,7,náutico,coritiba,0,1
2009,7,santo andré,sport,2,1
2009,7,santos,atlético-mg,2,3
2009,7,vitória,botafogo-rj,4,3
2009,8,athlético-pr,corinthians,1,0
2009,8,barueri,atlético-mg,4,2
2009,8,botafogo-rj,goiás,1,4
2009,8,cruzeiro,avaí,1,0
2009,8,fluminense,flamengo,0,0
2009,8,internacional,coritiba,3,0
2009,8,palmeiras,santos,1,1
2009,8,sport,grêmio,3,1
2009,8,são paulo,náutico,2,0
2009,8,vitória,santo andré,4,1
2009,9,atlético-mg,botafogo-rj,1,1
2009,9,avaí,palmeiras,0,3
2009,9,corinthians,fluminense,4,2
2009,9,coritiba,são paulo,2,0
2009,9,flamengo,vitória,2,1
2009,9,goiás,cruzeiro,1,0
2009,9,grêmio,athlético-pr,4,1
2009,9,náutico,internacional,0,2
2009,9,santo andré,barueri,1,1
2009,9,santos,sport,1,0
2009,10,athlético-pr,internacional,3,2
2009,10,avaí,botafogo-rj,1,2
2009,10,barueri,coritiba,3,1
2009,10,cruzeiro,atlético-mg,0,3
2009,10,fluminense,santo andré,0,1
2009,10,grêmio,corinthians,3,0
2009,10,palmeiras,náutico,4,1
2009,10,sport,goiás,1,0
2009,10,são paulo,flamengo,2,2
2009,10,vitória,santos,6,2
2009,11,atlético-mg,são paulo,2,0
2009,11,botafogo-rj,cruzeiro,1,1
2009,11,corinthians,sport,4,3
2009,11,coritiba,grêmio,2,1
2009,11,flamengo,palmeiras,1,2
2009,11,goiás,avaí,0,2
2009,11,internacional,fluminense,4,2
2009,11,náutico,vitória,1,1
2009,11,santo andré,athlético-pr,1,0
2009,11,santos,barueri,3,3
2009,12,athlético-pr,coritiba,0,0
2009,12,barueri,náutico,4,0
2009,12,botafogo-rj,flamengo,2,2
2009,12,cruzeiro,corinthians,1,2
2009,12,fluminense,goiás,1,4
2009,12,grêmio,internacional,2,1
2009,12,palmeiras,santo andré,1,0
2009,12,sport,avaí,1,3
2009,12,são paulo,santos,2,1
2009,12,vitória,atlético-mg,0,0
2009,13,atlético-mg,fluminense,2,1
2009,13,avaí,grêmio,1,0
2009,13,corinthians,vitória,2,1
2009,13,coritiba,sport,1,1
2009,13,flamengo,barueri,1,1
2009,13,goiás,palmeiras,2,1
2009,13,internacional,são paulo,2,2
2009,13,náutico,botafogo-rj,2,2
2009,13,santo andré,cruzeiro,0,2
2009,13,santos,athlético-pr,1,0
2009,14,athlético-pr,avaí,1,3
2009,14,atlético-mg,goiás,0,1
2009,14,barueri,são paulo,1,2
2009,14,botafogo-rj,internacional,3,2
