Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Palmeiras,2008,13,6,21,6,4,3,21,16,5,0,1,8,-5
Internacional,2008,13,7,19,5,4,4,16,14,2,0,0,13,-1
Figueirense,2008,13,8,19,5,4,4,18,23,-5,0,1,-1,-1
Náutico,2008,13,9,18,5,5,3,15,17,-2,0,0,2,-8
Coritiba,2008,13,10,17,4,4,5,18,16,2,0,1,4,-1
Athletico-PR,2008,13,11,16,4,5,4,14,14,0,1,0,1,-4
Vasco,2008,13,12,15,4,6,3,19,19,0,0,1,6,-3
Botafogo,2008,13,13,15,4,6,3,17,18,-1,0,1,5,-1
Sport,2008,13,14,15,4,6,3,12,17,-5,0,1,-1,-2
Portuguesa,2008,13,15,15,4,6,3,18,26,-8,0,1,3,-5
Atlético-MG,2008,13,16,15,3,4,6,17,19,-2,1,0,1,-9
Goiás,2008,13,17,14,3,5,5,14,21,-7,1,0,3,-4
Fluminense,2008,13,18,12,3,7,3,11,15,-4,1,0,4,1
Santos,2008,13,19,11,2,6,5,10,20,-10,1,0,1,1
Ipatinga,2008,13,20,10,2,7,4,15,26,-11,1,0,1,-8
Grêmio,2008,14,1,28,8,2,4,26,11,15,2,0,5,-1
Flamengo,2008,14,2,27,8,3,3,27,14,13,0,0,1,-5
Vitória,2008,14,3,26,8,4,2,22,13,9,2,0,8,1
Cruzeiro,2008,14,4,24,7,4,3,20,13,7,0,2,-2,-2
Palmeiras,2008,14,5,24,7,4,3,25,18,7,1,0,9,-6
São Paulo,2008,14,6,23,6,3,5,22,15,7,0,1,-1,-7
Internacional,2008,14,7,22,6,4,4,18,14,4,1,0,14,1
Coritiba,2008,14,8,20,5,4,5,19,16,3,1,0,5,1
Figueirense,2008,14,9,19,5,5,4,19,30,-11,0,2,1,-2
Botafogo,2008,14,10,18,5,6,3,21,18,3,1,0,6,1
Náutico,2008,14,11,18,5,6,3,15,19,-4,0,1,-1,-9
Sport,2008,14,12,18,5,6,3,13,17,-4,1,0,1,1
Goiás,2008,14,13,17,4,5,5,15,21,-6,2,0,4,-3
Vasco,2008,14,14,16,4,6,4,22,22,0,0,0,7,-4
Athletico-PR,2008,14,15,16,4,6,4,14,15,-1,0,1,-1,-5
Portuguesa,2008,14,16,16,4,6,4,20,28,-8,0,0,4,-6
Atlético-MG,2008,14,17,15,3,5,6,17,23,-6,0,1,-1,-10
Fluminense,2008,14,18,13,3,7,4,14,18,-4,0,0,5,-1
Santos,2008,14,19,11,2,7,5,12,24,-12,0,1,2,-1
Ipatinga,2008,14,20,10,2,8,4,15,27,-12,0,1,-1,-9
Grêmio,2008,15,1,29,8,2,5,27,12,15,0,0,6,-2
Flamengo,2008,15,2,28,8,3,4,27,14,13,0,0,-1,1
Cruzeiro,2008,15,3,27,8,4,3,23,14,9,1,0,1,-3
Vitória,2008,15,4,26,8,5,2,23,15,8,0,1,9,-1
São Paulo,2008,15,5,26,7,3,5,25,16,9,1,0,1,-8
Palmeiras,2008,15,6,25,7,4,4,26,19,7,0,0,10,-7
Coritiba,2008,15,7,23,6,4,5,21,17,4,2,0,6,-1
Internacional,2008,15,8,22,6,5,4,18,15,3,0,1,-1,-1
Sport,2008,15,9,21,6,6,3,15,18,-3,2,0,2,-1
Figueirense,2008,15,10,20,5,5,5,19,30,-11,0,0,-1,-1
Botafogo,2008,15,11,19,5,6,4,21,18,3,0,0,-1,1
Náutico,2008,15,12,18,5,7,3,16,21,-5,0,2,1,-10
Atlético-MG,2008,15,13,18,4,5,6,19,24,-5,1,0,1,-11
Athletico-PR,2008,15,14,17,4,6,5,14,15,-1,0,0,-2,1
Goiás,2008,15,15,17,4,6,5,16,23,-7,0,1,5,-4
Vasco,2008,15,16,16,4,7,4,24,27,-3,0,1,8,-5
Portuguesa,2008,15,17,16,4,7,4,21,31,-10,0,1,5,-7
Santos,2008,15,18,14,3,7,5,17,26,-9,1,0,3,-2
Fluminense,2008,15,19,13,3,8,4,15,21,-6,0,1,6,-2
Ipatinga,2008,15,20,13,3,8,4,16,27,-11,1,0,1,1
Grêmio,2008,16,1,32,9,2,5,28,12,16,1,0,7,-1
Cruzeiro,2008,16,2,30,9,4,3,27,16,11,2,0,2,-4
Vitória,2008,16,3,29,9,5,2,25,16,9,1,0,10,-2
Flamengo,2008,16,4,28,8,4,4,27,15,12,0,1,-2,-1
Palmeiras,2008,16,5,28,8,4,4,27,19,8,1,0,11,1
São Paulo,2008,16,6,27,7,3,6,26,17,9,0,0,2,-9
Sport,2008,16,7,24,7,6,3,18,19,-1,3,0,3,-2
Coritiba,2008,16,8,23,6,5,5,21,18,3,0,1,-1,-2
Botafogo,2008,16,9,22,6,6,4,23,18,5,1,0,1,1
Internacional,2008,16,10,22,6,6,4,18,16,2,0,2,-2,-2
Figueirense,2008,16,11,21,5,5,6,20,31,-11,0,0,1,-2
Vasco,2008,16,12,19,5,7,4,30,28,2,1,0,9,-6
Portuguesa,2008,16,13,19,5,7,4,24,32,-8,1,0,6,-8
Náutico,2008,16,14,18,5,8,3,18,25,-7,0,3,2,-11
Atlético-MG,2008,16,15,18,4,6,6,20,30,-10,0,1,2,-12
Athletico-PR,2008,16,16,17,4,7,5,15,17,-2,0,1,1,-1
Santos,2008,16,17,17,4,7,5,18,26,-8,2,0,4,-1
Goiás,2008,16,18,17,4,7,5,16,25,-9,0,2,-1,-5
Fluminense,2008,16,19,13,3,9,4,16,24,-8,0,2,7,-3
Ipatinga,2008,16,20,13,3,9,4,17,30,-13,0,1,2,-1
Grêmio,2008,17,1,35,10,2,5,30,12,18,2,0,8,1
Cruzeiro,2008,17,2,33,10,4,3,29,17,12,3,0,3,-5
Palmeiras,2008,17,3,31,9,4,4,29,20,9,2,0,12,-1
São Paulo,2008,17,4,30,8,3,6,30,17,13,1,0,3,1
Vitória,2008,17,5,29,9,6,2,25,18,7,0,1,-1,-3
Flamengo,2008,17,6,28,8,5,4,28,17,11,0,2,1,-2
Coritiba,2008,17,7,26,7,5,5,24,19,5,1,0,1,-3
