Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
botafogo-rj,2008,11,santos,-,-1,2,2,0,12,3,5,3,12,16,-4,0,0,3,-2
atlético-mg,2008,11,cruzeiro,cruzeiro,-1,2,1,0,12,2,3,6,14,16,-2,0,1,10,-7
goiás,2008,11,coritiba,-,1,2,2,0,10,2,5,4,10,18,-8,0,0,1,-2
fluminense,2008,11,vitória,fluminense,1,2,1,0,9,2,6,3,9,12,-3,2,0,2,-1
santos,2008,11,botafogo-rj,-,1,2,2,0,8,1,5,5,9,17,-8,0,0,2,-5
ipatinga,2008,11,figueirense,figueirense,1,0,1,0,7,1,6,4,11,21,-10,0,1,-1,-6
flamengo,2008,12,coritiba,coritiba,-1,1,0,0,26,8,2,2,25,11,14,0,1,-1,-3
cruzeiro,2008,12,athlético-pr,cruzeiro,1,1,0,0,24,7,2,3,20,11,9,2,0,3,1
grêmio,2008,12,sport,-,-1,2,2,0,22,6,2,4,18,10,8,0,0,3,-5
palmeiras,2008,12,fluminense,palmeiras,1,3,1,0,21,6,3,3,19,13,6,1,0,7,-4
vitória,2008,12,são paulo,são paulo,1,1,3,0,20,6,4,2,19,13,6,0,2,6,-4
são paulo,2008,12,vitória,são paulo,-1,1,3,0,20,5,2,5,20,12,8,2,0,8,-5
figueirense,2008,12,santos,figueirense,1,3,0,0,19,5,3,4,18,22,-4,2,0,5,1
internacional,2008,12,atlético-mg,internacional,1,1,0,0,18,5,4,3,15,13,2,1,0,12,1
náutico,2008,12,portuguesa,portuguesa,-1,3,2,0,17,5,5,2,14,16,-2,0,2,1,-7
coritiba,2008,12,flamengo,coritiba,1,1,0,0,17,4,3,5,16,13,3,1,0,3,1
portuguesa,2008,12,náutico,portuguesa,1,3,2,0,16,4,4,4,17,22,-5,1,0,2,-4
botafogo-rj,2008,12,ipatinga,botafogo-rj,1,4,0,0,15,4,5,3,16,16,0,1,0,4,1
